data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,Incremento,Error
2020-02-25 18:00:00,ITA,114,35,150,162,311,90,1,10,322,8623,0.4285714286,0.2474358297
2020-02-26 18:00:00,ITA,128,36,164,221,385,74,3,12,400,9587,0.2,0.1414213562
2020-02-27 18:00:00,ITA,248,56,304,284,588,203,45,17,650,12014,0.4166666667,0.1863389981
2020-02-28 18:00:00,ITA,345,64,409,412,821,233,46,21,888,15695,0.2352941176,0.1176470588
2020-02-29 18:00:00,ITA,401,105,506,543,1049,228,50,29,1128,18661,0.380952381,0.1346870059
2020-03-01 18:00:00,ITA,639,140,779,798,1577,528,83,34,1694,21127,0.1724137931,0.07710579233
2020-03-02 18:00:00,ITA,742,166,908,927,1835,258,149,52,2036,23345,0.5294117647,0.1247835496
2020-03-03 18:00:00,ITA,1034,229,1263,1000,2263,428,160,79,2502,25856,0.5192307692,0.09992600813
2020-03-04 18:00:00,ITA,1346,295,1641,1065,2706,443,276,107,3089,29837,0.3544303797,0.06698104585
2020-03-05 18:00:00,ITA,1790,351,2141,1155,3296,590,414,148,3858,32362,0.3831775701,0.05984228259
2020-03-06 18:00:00,ITA,2394,462,2856,1060,3916,620,523,197,4636,36359,0.3310810811,0.0472972973
2020-03-07 18:00:00,ITA,2651,567,3218,1843,5061,1145,589,233,5883,42062,0.1827411168,0.03045685279
2020-03-08 18:00:00,ITA,3557,650,4207,2180,6387,1326,622,366,7375,49937,0.5708154506,0.0494959768
2020-03-09 18:00:00,ITA,4316,733,5049,2936,7985,1598,724,463,9172,53826,0.2650273224,0.02690944755
2020-03-10 18:00:00,ITA,5038,877,5915,2599,8514,529,1004,631,10149,60761,0.3628509719,0.02799456025
2020-03-11 17:00:00,ITA,5838,1028,6866,3724,10590,2076,1045,827,12462,73154,0.3106180666,0.02218700475
2020-03-12 17:00:00,ITA,6650,1153,7803,5036,12839,2249,1258,1016,15113,86011,0.2285368803,0.01662361195
2020-03-13 17:00:00,ITA,7426,1328,8754,6201,14955,2116,1439,1266,17660,97488,0.2460629921,0.01556239006
2020-03-14 17:00:00,ITA,8372,1518,9890,7860,17750,2795,1966,1441,21157,109170,0.1382306477,0.01044925478
2020-03-15 17:00:00,ITA,9663,1672,11335,9268,20603,2853,2335,1809,24747,124899,0.2553782096,0.01331250943
2020-03-16 17:00:00,ITA,11025,1851,12876,10197,23073,2470,2749,2158,27980,137962,0.1929242676,0.01032699928
2020-03-17 17:00:00,ITA,12894,2060,14954,11108,26062,2989,2941,2503,31506,148657,0.1598702502,0.00860712494
2020-03-18 17:00:00,ITA,14363,2257,16620,12090,28710,2648,4025,2978,35713,165541,0.1897722733,0.008707349068
2020-03-19 17:00:00,ITA,15757,2498,18255,14935,33190,4480,4440,3405,41035,182777,0.143384822,0.006938877878
2020-03-20 17:00:00,ITA,16020,2655,18675,19185,37860,4670,5129,4032,47021,206886,0.1841409692,0.007353881953
2020-03-21 17:00:00,ITA,17708,2857,20565,22116,42681,4821,6072,4825,53578,233222,0.1966765873,0.006984190397
2020-03-22 17:00:00,ITA,19846,3009,22855,23783,46638,3957,7024,5476,59138,258402,0.1349222798,0.005288021066
2020-03-23 17:00:00,ITA,20692,3204,23896,26522,50418,3780,7432,6077,63927,275468,0.1097516435,0.004476862919
2020-03-24T17:00:00,ITA,21937,3396,25333,28697,54030,3612,8326,6820,69176,296964,0.1222642751,0.004485441228
2020-03-25T17:00:00,ITA,23112,3489,26601,30920,57521,3491,9362,7503,74386,324445,0.1001466276,0.003832004207
2020-03-26T17:00:00,ITA,24753,3612,28365,33648,62013,4492,10361,8165,80539,361060,0.08823137412,0.003429209738
2020-03-27T17:00:00,ITA,26029,3732,29761,36653,66414,4401,10950,9134,86498,394079,0.1186772811,0.003812463543
